year,month,sum(sales),sales_yearly_cum_sum,monthly_perc_change
2019,Jan,7182868.40,7182868.40,""
2019,Feb,7898345.46,15081213.86,9.96
2019,Mar,10108853.87,25190067.73,27.99
2019,Apr,9025013.17,34215080.90,-10.72
2019,May,9337949.48,43553030.38,3.47
2019,Jun,11451647.77,55004678.15,22.64
2019,Jul,9701032.86,64705711.01,-15.29
2019,Aug,9166353.77,73872064.78,-5.51
2019,Sep,10835664.95,84707729.73,18.21
2019,Oct,8663220.03,93370949.76,-20.05
2019,Nov,8422503.46,101793453.22,-2.78
2019,Dec,12772617.11,114566070.33,51.65
2020,Jan,6815711.88,6815711.88,-46.64
2020,Feb,8212560.37,15028272.25,20.49
2020,Mar,11199935.16,26228207.41,36.38
2020,Apr,9045063.01,35273270.42,-19.24
2020,May,9162880.39,44436150.81,1.30
2020,Jun,11261662.71,55697813.52,22.91
2020,Jul,9017774.00,64715587.52,-19.93
2020,Aug,8757728.34,73473315.86,-2.88
